ID,name,birthDate,country_code
60f08d9b-7319-4d56-9343-9f422fd56727,Leonardo DiCaprio,1974-11-11,US
a78617d2-5e19-4d4f-8362-4cb7eb5ee29e,Johnny Depp,1963-06-09,US
4ee3bcf7-45f2-4f0b-92b1-1ef692f22864,Kaoru Kobayashi,1956-09-04,JP
a9a1c477-8942-4c0f-8a41-987e2db477e0,Brad Pitt,1963-12-18,US
02ff81f8-2eae-4ac3-bf1c-e0ad42863dd5,Cate Blanchett,1969-05-14,AU
f3d50d80-d3b0-4f92-85d3-1e06a1a092bc,Scarlett Johansson,1984-11-22,US
fd179a11-4422-4ba6-8f61-08667d2ea6d7,Tom Hanks,1956-07-09,US
88b0c826-92a9-4b04-a42e-9f81b9f0e94b,Robert Downey Jr.,1965-04-04,US
29f003f9-9d21-4d9a-a647-1eab7889b635,Anne Hathaway,1982-11-12,US
ad60b2e3-6c45-44a3-8cf4-6e6a21856f2e,Denzel Washington,1954-12-28,US
760322c2-7394-4b1f-9b7f-1dcba3faeeb1,Morgan Freeman,1937-6-1,US
