ID,name,birthDate,country_code
e4b5e80b-2e44-4fc1-b468-33ec2dd58f77,Christopher Nolan,1970-07-30,GB,
53b35636-1f85-4c25-bb07-f510fd2d6a2d,Quentin Tarantino,1963-03-27,US,
0b47c69e-9b13-496b-9b14-8a4b62f2a35d,Hayao Miyazaki,1941-01-05,JP,
08f946a0-02c3-4e9f-b45b-8c6ad825a59e,Steven Spielberg,1946-12-18,US,
c7107e9a-c5ea-4d06-ae7c-4f64a922ee09,James Cameron,1954-08-16,CA,
1ec8e999-92c5-4d02-8c7d-12a33063e05b,Stanley Kubrick,1928-07-26,US,
c5e5a15c-5cda-4c6d-a5c1-4b0d1e26c3a9,Alfred Hitchcock,1899-08-13,GB,
76c19156-8e91-4893-bf82-01ecb5f67a2d,Francis Ford Coppola,1939-04-07,US,
120cdc9b-1ac9-4a3f-a322-5f315d3e97c1,George Lucas,1944-05-14,US,
bcf842ae-d28b-4394-a748-2f8a2f93a696,Martin Scorsese,1942-11-17,US,
