ID,name,birthDate,country_code
e4b5e80b-2e44-4fc1-b468-33ec2dd58f77,Christopher Nolan,1970-07-30,GB,
53b35636-1f85-4c25-bb07-f510fd2d6a2d,Quentin Tarantino,1963-03-27,UK,"53b35636-1f85-4c25-bb07-f510fd2d6a2d"
0b47c69e-9b13-496b-9b14-8a4b62f2a35d,Hayao Miyazaki,1941-01-05,JP,"0b47c69e-9b13-496b-9b14-8a4b62f2a35d"
08f946a0-02c3-4e9f-b45b-8c6ad825a59e,Steven Spielberg,1946-12-18,US,"d7e8db1a-7c36-4e02-9678-2a8b0ce1b73a,69c57929-81ec-46b1-bf86-1709b44ce15c"
c7107e9a-c5ea-4d06-ae7c-4f64a922ee09,James Cameron,1954-08-16,CA,"d44a89ef-ef7e-47f7-a3d8-1354d8d5563f,db371df9-88f4-4b2a-bfb0-7d2f4801cdd7"
1ec8e999-92c5-4d02-8c7d-12a33063e05b,Stanley Kubrick,1928-07-26,US,"ac9f1d6c-f4c4-4f0d-b9ac-dfae381f7969,18e5b91c-1328-4db2-882f-77fb1473597b"
c5e5a15c-5cda-4c6d-a5c1-4b0d1e26c3a9,Alfred Hitchcock,1899-08-13,GB,"156b159c-9b98-4d0a-9f57-4b465c0f582f,a39af2e2-e6e2-4f5a-9094-9b0b2b421de1"
76c19156-8e91-4893-bf82-01ecb5f67a2d,Francis Ford Coppola,1939-04-07,US,"3c6cc287-19b8-4ee6-b8da-4e2f8f7aa8a1,c885f66d-4d16-4d69-835c-0a7b6f59e768"
120cdc9b-1ac9-4a3f-a322-5f315d3e97c1,George Lucas,1944-05-14,US,"53703ef8-ec2c-47b7-aa96-6b6c3a27e4f3,868c2c5d-5363-4bd9-92ef-79e0b2076a2a"
bcf842ae-d28b-4394-a748-2f8a2f93a696,Martin Scorsese,1942-11-17,US,"c9ad822c-f465-4f48-890f-69463ac36a65,18b99e2e-0de3-4121-885a-d098cb2f6725"
